GhoCode,YearCode,YearDisplay,RegionCode,RegionDisplay,CountryCode,country,SexCode,SexDisplay,DisplayValue,Numeric
WHOSIS_000001,2013,2013,EUR,Europe,LTU,Lithuania,BTSX,Both sexes,74,74.30048
WHOSIS_000001,2013,2013,EUR,Europe,LUX,Luxembourg,BTSX,Both sexes,82,82.16427
WHOSIS_000001,2013,2013,EUR,Europe,MKD,Macedonia,BTSX,Both sexes,76,75.71539
WHOSIS_000001,2013,2013,AFR,Africa,MDG,Madagascar,BTSX,Both sexes,64,64.39765
WHOSIS_000001,2013,2013,AFR,Africa,MWI,Malawi,BTSX,Both sexes,60,59.58976
WHOSIS_000001,2013,2013,WPR,Western Pacific,MYS,Malaysia,BTSX,Both sexes,74,74.05213
WHOSIS_000001,2013,2013,AFR,Africa,MLI,Mali,BTSX,Both sexes,57,57.22025
WHOSIS_000001,2013,2013,EUR,Europe,MLT,Malta,BTSX,Both sexes,81,80.63323
WHOSIS_000001,2013,2013,AFR,Africa,MUS,Mauritius,BTSX,Both sexes,74,74.13084
WHOSIS_000001,2013,2013,AMR,Americas,MEX,Mexico,BTSX,Both sexes,75,75.37576
WHOSIS_000001,2013,2013,WPR,Western Pacific,FSM,Micronesia,BTSX,Both sexes,69,69.12877
WHOSIS_000001,2013,2013,EUR,Europe,MDA,Moldova,BTSX,Both sexes,70,70.46939
WHOSIS_000001,2013,2013,WPR,Western Pacific,MNG,Mongolia,BTSX,Both sexes,68,67.70721
WHOSIS_000001,2013,2013,EUR,Europe,MNE,Montenegro,BTSX,Both sexes,76,75.93555
WHOSIS_000001,2013,2013,EMR,Eastern Mediterranean,MAR,Morocco,BTSX,Both sexes,71,70.97952
WHOSIS_000001,2013,2013,AFR,Africa,MOZ,Mozambique,BTSX,Both sexes,54,54.18395
WHOSIS_000001,2013,2013,SEAR,South_East Asia,MMR,Myanmar,BTSX,Both sexes,66,65.95232
WHOSIS_000001,2013,2013,AFR,Africa,NAM,Namibia,BTSX,Both sexes,68,68.10928
WHOSIS_000001,2013,2013,WPR,Western Pacific,NRU,Nauru,BTSX,Both sexes,79,78.87914
WHOSIS_000001,2013,2013,SEAR,South_East Asia,NPL,Nepal,BTSX,Both sexes,68,68.47222
WHOSIS_000001,2013,2013,EUR,Europe,NLD,Netherlands,BTSX,Both sexes,81,81.37485
WHOSIS_000001,2013,2013,WPR,Western Pacific,NZL,New Zealand,BTSX,Both sexes,82,82.08273
WHOSIS_000001,2013,2013,AMR,Americas,NIC,Nicaragua,BTSX,Both sexes,74,73.64848
WHOSIS_000001,2013,2013,AFR,Africa,NER,Niger,BTSX,Both sexes,59,59.29464
WHOSIS_000001,2013,2013,AFR,Africa,NGA,Nigeria,BTSX,Both sexes,55,54.54945
WHOSIS_000001,2013,2013,WPR,Western Pacific,NIU,Niue,BTSX,Both sexes,75,74.59361
WHOSIS_000001,2013,2013,EUR,Europe,NOR,Norway,BTSX,Both sexes,82,81.75625
